batter,balls,batsman_runs,strike_rate
PD Salt,385,653,169.61
T Stubbs,239,405,169.46
TM Head,458,772,168.56
AD Russell,1515,2488,164.22
H Klaasen,613,993,161.99
TH David,417,659,158.03
SP Narine,984,1534,155.89
Shashank Singh,272,423,155.51
N Pooran,1143,1769,154.77
LS Livingstone,609,939,154.19
Rashid Khan,355,545,153.52
GJ Maxwell,1842,2772,150.49
C Green,472,707,149.79
CH Morris,413,618,149.64
RM Patidar,534,799,149.63
Abhishek Sharma,925,1377,148.86
V Sehwag,1833,2728,148.83
AB de Villiers,3487,5181,148.58
Abishek Porel,244,360,147.54
RR Rossouw,321,473,147.35
YBK Jaiswal,1095,1607,146.76
Dhruv Jurel,237,347,146.41
JM Sharma,501,730,145.71
SO Hetmyer,854,1243,145.55
RR Pant,2296,3297,143.6
PJ Cummins,359,515,143.45
PP Shaw,1321,1892,143.22
P Simran Singh,528,756,143.18
SA Yadav,2522,3594,142.51
JC Buttler,2519,3583,142.24
CH Gayle,3516,4997,142.12
Abdul Samad,408,579,141.91
R Powell,254,360,141.73
KA Pollard,2447,3437,140.46
JM Bairstow,1132,1589,140.37
HH Pandya,1814,2534,139.69
S Dube,1077,1502,139.46
Tilak Varma,830,1156,139.28
DP Conway,669,924,138.12
YK Pathan,2334,3222,138.05
HM Amla,418,577,138.04
PBB Rajapaksa,201,277,137.81
KR Mayers,276,379,137.32
Nithish Kumar Reddy,221,303,137.1
RN ten Doeschate,238,326,136.97
JA Morkel,712,975,136.94
MM Ali,849,1162,136.87
MP Stoinis,1366,1866,136.6
RK Singh,654,893,136.54
CA Lynn,974,1329,136.45
RA Tripathi,1650,2236,135.52
MK Lomror,389,527,135.48
DA Warner,4849,6567,135.43
SV Samson,3270,4419,135.14
DA Miller,2171,2924,134.68
SN Thakur,228,307,134.65
B Sai Sudharsan,770,1034,134.29
SR Watson,2892,3880,134.16
N Wadhera,261,350,134.1
ST Jayasuriya,573,768,134.03
M Shahrukh Khan,413,553,133.9
RD Gaikwad,1781,2380,133.63
JJ Roy,460,614,133.48
F du Plessis,3435,4571,133.07
AC Gilchrist,1555,2069,133.05
MS Dhoni,3947,5243,132.84
JR Hopes,314,417,132.8
Ishan Kishan,1991,2644,132.8
VR Iyer,1000,1326,132.6
SK Raina,4177,5536,132.54
C de Grandhomme,229,303,132.31
DR Smith,1803,2385,132.28
Shubman Gill,2432,3216,132.24
KP Pietersen,758,1001,132.06
