team,total_matches,wins,win_rate
Gujarat Titans,45,28,62.22
Chennai Super Kings,238,138,57.98
Mumbai Indians,261,144,55.17
Lucknow Super Giants,44,24,54.55
Kolkata Knight Riders,251,131,52.19
Rajasthan Royals,221,112,50.68
Rising Pune Supergiants,30,15,50.0
Sunrisers Hyderabad,182,88,48.35
Royal Challengers Bengaluru,255,123,48.24
Delhi Capitals,252,115,45.63
Punjab Kings,246,112,45.53
Gujarat Lions,30,13,43.33
Kochi Tuskers Kerala,14,6,42.86
Deccan Chargers,75,29,38.67
Pune Warriors,46,12,26.09
